,id,created_at,full_text,Station1,Station1_Index,Station2,Station2_Index,Line1,Line2
325,8.75E+17,14/6/2017,"[EWL]UPDATE: Due to a track circuit fault at #BuonaVista,pls add 10mins travel time from #CityHall to #Dover,train svc is still available.",buona vista,EW21,city hall,NS25,EWL,NA
326,8.75E+17,14/6/2017,[EWL] UPDATE:  Pls cater 10 mins additional travel time from #CityHall to #Dover.We are working to recover service.,city hall,NS25,dover,EW22,EWL,NA
340,8.74E+17,12/6/2017,[NSL]UPDATE: Pls expect 10mins travel time btw #ChoaChuKang &amp; #JurongEast due to signalling system fault. Train service is still available.,jurong east,NS1,choa chu kang,NS4,NSL,NA
348,8.71E+17,2/6/2017,[NSL] UPDATE:Fault cleared.Train svcs are progressively returning to normal. Pls expect 10mins additional travel time btw #Yishun &amp; #YewTee.,yishun,NS13,yew tee,NS5,NSL,NA
361,8.71E+17,2/6/2017,"[NSL] Due to new signalling system checks, pls add 15mins travel time between #MarinaSouthPier &amp; #JurongEast both bounds. We are sorry.",jurong east,NS1,marina south pier,NS28,NSL,NA
364,8.70E+17,1/6/2017,[NSL]UPDATE:Trains are progressively returning to normal speed.Pls expect 15mins additional travel time btwn #MarinaSouthPier &amp; #JurongEast.,jurong east,NS1,marina south pier,NS28,NSL,NA
388,8.60E+17,3/5/2017,[NSL]UPDATE: Pls add 10min travel time from #AngMoKio to #MarinaSouthPier due to a train signalling fault. Train service is still available.,marina south pier,NS28,ang mo kio,NS16,NSL,NA
399,8.55E+17,20/4/2017,"[NSL] UPDATE: No train service between #Yishun &amp; #Bishan,due to a train fault at #Khatib.Est resumption time extended to 06.00am.",yishun,NS13,khatib,NS14,NSL,NA
404,8.54E+17,18/4/2017,"[NSL]UPDATE: Please add 5mins travel time from #Bishan to #Khatib, due to a track fault at #Khatib. Train svc is still available.",khatib,NS14,bishan,NS17,NSL,NA
411,8.54E+17,18/4/2017,[EWL] UPDATE: Pls cater 5 mins additional travel time from #PayaLebar to #Simei. We are working to recover service.,paya lebar,EW8,simei,EW3,EWL,NA
425,8.54E+17,18/4/2017,"[EWL]: Due to a track fault, pls add 10 mins travel time from #PayaLebar to #Simei towards #PasirRis. Train service is still available.",paya lebar,EW8,pasir ris,EW1,EWL,NA
428,8.54E+17,17/4/2017,"[NSL]UPDATE:Pls add 15mins travel time from #Bishan to #Khatib, due to a track fault at #Khatib. Train svc is still available.",khatib,NS14,bishan,NS17,NSL,NA
430,8.54E+17,17/4/2017,"[NSL]: Due to a track fault, pls add 10mins travel time from #Bishan to #Khatib towards #JurongEast. Train service is still available.",jurong east,NS1,khatib,NS14,NSL,NA
436,8.52E+17,11/4/2017,"[EWL]UPDATE:Train fault cleared , trains are progressively returning to normal speed. Pls add 10mins travel time btwn #JooKoon &amp; #Queenstown",queenstown,EW19,joo koon,EW29,EWL,NA
438,8.52E+17,10/4/2017,"[EWL]: Due to a train fault, pls add 25mins travel time between #JooKoon &amp; #Queenstown. Train service is still available.",queenstown,EW19,joo koon,EW29,EWL,NA
441,8.51E+17,10/4/2017,[EWL] UPDATE: Pls cater 5 mins additional travel time from #Bugis to #TanahMerah. We are working to recover service.,bugis,EW12,tanah merah,EW4,EWL,NA
444,8.51E+17,10/4/2017,"[EWL]: Due to a Platform Screen Door fault at Bedok, pls add 10 mins travel time from #Bugis to #TanahMerah towards #PasirRis.",pasir ris,EW1,bugis,EW12,EWL,NA
453,8.49E+17,3/4/2017,"[NSL]: Due to a train fault, pls add 30mins travel time from #Yishun to #Bishan towards #MarinaSouthPier. Train service is still available.",marina south pier,NS28,yishun,NS13,NSL,NA
456,8.48E+17,30/3/2017,"[NSL]: Due to a train fault, pls add 10mins travel time from #JurongEast to #ChoaChuKang towards #MarinaSouthPier.",jurong east,NS1,marina south pier,NS28,NSL,NA
460,8.47E+17,30/3/2017,[EWL] UPDATE: Pls cater 20 mins additional travel time from #PasirRis towards #PayaLebar. We are working to recover service.,paya lebar,EW8,pasir ris,EW1,EWL,NA
466,8.47E+17,28/3/2017,"[NSL]UPDATE:Fault cleared, trains are progressively returning to normal speed. Pls add 10mins travel time from #Bishan to #Sembawang.",sembawang,NS11,bishan,NS17,NSL,NA
475,8.47E+17,28/3/2017,"[NSL]: Due to a signalling fault,pls add 15mins travel time from#Bishan to #Sembawang towards #JurongEast.Train service is still available.",jurong east,NS1,sembawang,NS11,NSL,NA
481,8.42E+17,15/3/2017,"[EWL]: Due to a train fault, pls add 25 mins travel time from #PasirRis to #TanahMerah towards #JooKoon. Train service is still available.",pasir ris,EW1,tanah merah,EW4,EWL,NA
489,8.35E+17,23/2/2017,"[EWL]: Due to a train fault, train service between #JooKoon &amp; #Lakeside will delay for 20 minutes.",lakeside,EW26,joo koon,EW29,EWL,NA
497,8.31E+17,13/2/2017,[NSL]UPDATE: Free regular bus is available between #Woodlands and #Yishun in both direction due to a train fault at #Admiralty,admiralty,NS10,yishun,NS13,NSL,NA
498,8.31E+17,12/2/2017,[NSL]: Pls add 20mins travelling time from #JurongEast to #AngMoKio towards #MarinaSouthPier due to a train fault.,jurong east,NS1,marina south pier,NS28,NSL,NA
500,8.31E+17,11/2/2017,"[EWL] UPDATE: Due to an earlier track fault, pls add 10mins travel time between #BoonLay &amp; #JooKoon.",boon lay,EW27,joo koon,EW29,EWL,NA
511,8.30E+17,10/2/2017,[BPLRT] Train services on BPLRT affected due to a train fault. Free regular bus services are available along BPLRT.,choa chu kang,BP1,fajar,BP10,BPL,NA
519,8.30E+17,10/2/2017,"[NSL]:Due to a train fault,pls add 30mins travel time from Newton to MarinaSouthPier towards MarinaSouthPier.Trn service is still available.",marina south pier,NS28,newton,NS21,NSL,NA
521,8.29E+17,7/2/2017,"[EWL]UPDATE:Pls add 10 mins travel time from #JurongEast towards #JooKoon,due to a track work at #JooKoon. Train svc is still available",jurong east,NS1,joo koon,EW29,EWL,NA
529,8.24E+17,23/1/2017,"[EWL]UPDATE:Pls add 10 mins travel time from #JooKoon towards #Clementi,due to a track fault at #JurongEast. Train svc is still available.",jurong east,NS1,clementi,EW23,EWL,NA
540,8.23E+17,23/1/2017,"[EWL]: Due to a track fault, pls add 10 mins travel time from #JooKoon to #Clementi towards #PasirRis. Train service is still available.",clementi,EW23,pasir ris,EW1,EWL,NA
543,8.22E+17,19/1/2017,"[EWL]UPDATE:Track fault cleared,trains are progressively returning to normal speed.Pls add 10mins travel time from #JooKoon towards#Clementi",clementi,EW23,joo koon,EW29,EWL,NA
549,8.22E+17,18/1/2017,"[EWL]: Due to a track fault, pls add 10 mins travel time from #JooKoon to #Clementi towards #PasirRis. Train service is still available.",clementi,EW23,pasir ris,EW1,EWL,NA
551,8.20E+17,13/1/2017,"[NSL]UPDATE:Fault cleared, trains are progressively returning to normal speed. Pls add 10mins travel time from #CityHall to #AngMoKio.",ang mo kio,NS16,city hall,NS25,NSL,NA
555,8.16E+17,4/1/2017,[EWL]UPDATE: Pls expect 15mins travel time fr #BoonLay to #Clementi towards #PasirRis due to track fault. Train service is still available.,clementi,EW23,pasir ris,EW1,EWL,NA
556,8.16E+17,4/1/2017,[EWL]UPDATE: Trains are running slower due to track fault near #Clementi. Train service is still available.,clementi,EW23,NA,NA,EWL,NA
557,8.16E+17,3/1/2017,"[EWL]: Due to a track fault, pls add 10 mins travel time from #BoonLay to #Clementi towards #PasirRis. Train service is still available.",clementi,EW23,pasir ris,EW1,EWL,NA
561,8.12E+17,23/12/2016,[EWL] UPDATE: Pls add 10 mins travel time from #TanahMerah towards #JooKoon. We are working to recover service. Train svc still available.,tanah merah,EW4,joo koon,EW29,EWL,NA
562,8.12E+17,22/12/2016,"[EWL]UPDATE:Due to a track fault at #Eunos, Pls add 10 mins travel time from #TanahMerah towards #JooKoon. Train svc is still available.",eunos,EW7,tanah merah,EW4,EWL,NA
569,8.12E+17,22/12/2016,[EWL] No train service between #OutramPark &amp; #Aljunied due to a traction power fault near #Bugis.,outram park,EW16,aljunied,EW9,EWL,NA
571,8.12E+17,22/12/2016,"[EWL]: Due to a track fault, pls add 5 mins travel time from #Aljunied to #Eunos towards #PasirRis. Train service is still available.",eunos,EW7,pasir ris,EW1,EWL,NA
572,8.12E+17,22/12/2016,"[EWL]: Due to a track fault, pls add 10 mins travel time from #OutramPark to #Eunos towards #PasirRis. Train service is still available.",eunos,EW7,outram park,EW16,EWL,NA
575,8.09E+17,14/12/2016,"[EWL]UPDATE:Fault cleared , trains are progressively returning to normal speed. Pls add 10mins travel time btwn #PasirRis &amp; #OutramPark.",outram park,EW16,pasir ris,EW1,EWL,NA
580,8.06E+17,6/12/2016,"[EWL]: Due to a track fault near JurongEast, pls add 10 mins travel time from #CityHall to #JurongEast. Train service is still available.",jurong east,NS1,city hall,NS25,EWL,NA
584,8.06E+17,6/12/2016,[EWL] CLEARED: Train services between #BoonLay &amp; #JooKoon have resumed. Pls add 10mins travel time btwn #JurongEast &amp; #JooKoon.,jurong east,NS1,boon lay,EW27,EWL,NA
588,8.00E+17,18/11/2016,"[EWL]UPDATE:Pls add 5 mins travel time from #TanahMerah towards #JooKoon,due to a track fault at #Lavender. Train svc is still available",lavender,EW11,tanah merah,EW4,EWL,NA
589,8.00E+17,18/11/2016,"[EWL]: Due to a track fault, pls add 10 mins travel time from #Tanah Merah to #Bugis towards #Joo Koon. Train service is still available.",tanah merah,EW4,bugis,EW12,EWL,NA
593,7.94E+17,3/11/2016,"Due to intermittent signal interference, CCL trains may experience delays. For safety, CCL trains are manned this morning. We are sorry.",dhoby ghaut,CC1,harbourfront,CC29,CCL,NA
602,7.94E+17,2/11/2016,"[EWL]No train service from #Queenstown to #Outram Park towards PasirRis,due to a train fault at #TiongBharu.Est resumption time: 18:10hrs.",outram park,EW16,pasir ris,EW1,EWL,NA
619,7.94E+17,1/11/2016,"[CCL] CLEARED: Fault cleared but trains and stations are crowded. Due to   congestion, pls add 10mins travel time towards #DhobyGhaut.",dhoby ghaut,CC1,harbourfront,CC29,CCL,NA
625,7.91E+17,27/10/2016,"[EWL]Update:Due to a track fault, pls add 5 mins travel time from #PasirRis to #Bugis towards #JooKoon. Train service is still available.",pasir ris,EW1,bugis,EW12,EWL,NA
640,7.91E+17,26/10/2016,[BPLRT] Due to a train fault between #BukitPanjang &amp; #Phoenix. BPLRT train svc will be delayed for 30 mins. We are working to recover svc.,phoenix,BP5,bukit panjang,DT1,BPL,NA
644,7.89E+17,20/10/2016,"[EWL]UPDATE:Fault cleared, trains are progressively returning to normal speed. Pls cater 10mins travel time from #Queenstown to #JurongEast.",jurong east,NS1,queenstown,EW19,EWL,NA
649,7.88E+17,18/10/2016,[EWL]UPDATE:Additional travel time has been reduced to 5mins from #TanahMerah to #Bugis. Train svc is still available.,bugis,EW12,tanah merah,EW4,EWL,NA
656,7.84E+17,6/10/2016,[EWL] UPDATE: Pls cater 10 mins additional travel time from #OutramPark to #Eunos towards Pasir Ris. We are working to recover service.,eunos,EW7,outram park,EW16,EWL,NA
657,7.84E+17,6/10/2016,[EWL]: UPDATE: Please expect additional 15mins traveling time from Outram Park to Eunos due to track fault near Paya Lebar.,eunos,EW7,paya lebar,EW8,EWL,NA
677,7.81E+17,27/9/2016,[BPLRT] No train service between #ChoaChuKang and #BukitPanjang in both directions due to a power fault.,bukit panjang,DT1,choa chu kang,NS4,BPL,NA
685,7.78E+17,20/9/2016,[CCL] Update: Estimate 10mins additional travelling time from #DhobyGhaut to #Bishan towards #HarbourFront due to track fault.,harbourfront,NE1,dhoby ghaut,NS24,CCL,NA
690,7.78E+17,19/9/2016,[CCL] Update: Estimate 10mins additional travelling time from #DhobyGhaut to #MacPherson towards #HarbourFront due to track fault.,harbourfront,NE1,dhoby ghaut,NS24,CCL,NA
693,7.78E+17,19/9/2016,[CCL]: Estimate 5mins additional travelling time from #PayaLebar to #MacPherson towards #HarbourFront due to track fault.,paya lebar,EW8,harbourfront,NE1,CCL,NA
697,7.73E+17,5/9/2016,[CCL] Update: Estimate 5mins additional travelling time from #PayaLebar to #MacPherson towards #HarbourFront due to track fault.,paya lebar,EW8,harbourfront,NE1,CCL,NA
